fips,medloan,jobsretained,zpop,n_loan,n_dentists,rural,med_cap,jobs_cap,loan_cap,dent_ca
8067,1581426.602,101,37257,20,100,0,42.44643,271.09,53.681187,268.40594
8069,13350546.57,1117,246298,162,3276,0,54.204853,453.51566,65.773979,1330.0961
8071,140283,11,12512,3,6,0,11.211877,87.915604,23.976982,47.953964
8073,53775.35156,0,3649,1,8,0,14.737011,0,27.404768,219.23814
8075,447174,41,16486,8,15,0,27.12447,248.69586,48.526024,90.98629
8077,5295914.867,443,69424,60,550,0,76.28363,638.10785,86.425446,792.23322
8081,149200,17,12180,2,6,0,12.24959,139.57307,16.420361,49.261086
8083,369714.1191,38,13655,7,15,0,27.075365,278.28635,51.263275,109.84987
8085,1607791,112,30574,25,74,0,52.586872,366.32434,81.768822,242.03572
8087,496810.6992,55,22285,10,42,0,22.293503,246.80278,44.873234,188.46758
8089,60748.01172,12,10858,1,7,0,5.59477,110.51759,9.2097988,64.468597
8091,129614,1,2189,4,6,1,59.211514,45.682961,182.73184,274.09775
8093,17900,5,8150,1,3,0,2.1963191,61.349693,12.269938,36.809814
8095,45242,6,1608,1,0,1,28.135572,373.13434,62.189056,0
8097,527431.9697,34,11078,7,33,0,47.610756,306.91461,63.188301,297.8877
8099,72805.62988,9,10897,2,8,0,6.6812544,82.591537,18.353676,73.414703
8101,4072573.552,442,124821,51,791,0,32.627312,354.10709,40.858509,633.70746
8103,88232.5,1,3383,2,5,1,26.081141,29.559563,59.119125,147.79781
8105,112982,10,8960,2,14,0,12.609598,111.60714,22.321428,156.25
8107,1046851.102,97,16211,18,50,0,64.576591,598.35913,111.03571,308.43256
8113,188623.7969,16,4905,2,5,1,38.455414,326.19775,40.774719,101.9368
8117,1073956,46,23548,12,112,0,45.607101,195.34567,50.959743,475.62427
8119,269700,41,11256,8,13,0,23.960554,364.25018,71.073204,115.49396
8121,42692,3,2731,1,2,1,15.632369,109.84987,36.616623,73.233246
8123,5158914.309,434,139868,74,1562,0,36.884163,310.29257,52.907028,1116.7672
8125,226629,25,8029,3,8,0,28.226305,311.37128,37.364555,99.638809
9001,32930361.21,2614,731554,342,28941,0,45.014259,357.32153,46.749794,3956.0989
9003,33516058.43,2489,797519,316,39060,0,42.025406,312.09286,39.622879,4897.689
9005,2829920.449,263,131490,45,1440,0,21.521944,200.01521,34.223133,1095.1403
9007,4883288.246,381,135516,61,1875,0,36.034771,281.14761,45.013134,1383.6005
9009,22847530.48,1631,776191,239,23724,0,29.43545,210.12869,30.791389,3056.4641
9011,8039922.02,612,231082,69,3474,0,34.792507,264.84106,29.859529,1503.3624
9013,2390412.07,187,122243,26,912,0,19.554592,152.974,21.269112,746.05499
9015,2455901,166,56283,22,399,0,43.634865,294.93808,39.088181,708.91742
10001,5873196.496,241,91972,28,355,0,63.858528,262.03629,30.444048,385.98703
10003,22856092.41,1575,478676,143,6213,0,47.748566,329.03259,29.874069,1297.9552
10005,4652547.93,331,137103,28,676,0,33.934692,241.42433,20.422602,493.05997
11001,22132494.27,1324,566768,260,18260,0,39.050358,233.60529,45.874149,3221.7769
12001,5936573.002,501,169108,76,4700,0,35.105217,296.26038,44.941692,2779.2891
12003,165232,19,11087,2,11,0,14.90322,171.37187,18.039145,99.215294
12005,4306310.438,330,128941,40,672,0,33.397526,255.931,31.02194,521.16858
12007,132684.9688,17,16003,2,7,0,8.291256,106.23008,12.497657,43.741798
12009,13903204.09,1053,435292,135,6980,0,31.939949,241.90659,31.013664,1603.5214
12011,49334227.94,5066,1607857,732,75920,0,30.683218,315.07776,45.526436,4721.813
12013,310930,22,7460,2,8,0,41.679626,294.90616,26.809652,107.23861
12015,3291935.543,233,108627,40,736,0,30.304947,214.49547,36.823257,677.54791
12017,1470809.594,54,74528,15,360,0,19.734993,72.455986,20.126663,483.03992
12019,4117964.221,310,138338,41,575,0,29.767412,224.08882,29.637554,415.64862
12021,10456583.71,744,249314,140,3872,0,41.941422,298.41885,56.154087,1553.0616
12023,1217927.57,114,33318,13,80,0,36.554642,342.15738,39.017948,240.11046
12027,40700,2,31964,1,6,0,1.2733074,6.2570391,3.1285195,18.771118
12029,64100,7,4921,2,1,0,13.025807,142.24751,40.642147,20.321074
12031,22803743.3,1521,669801,221,19500,0,34.045551,227.08237,32.994873,2911.3125
12033,7975003.737,652,266801,91,2110,0,29.891207,244.37689,34.107819,790.85162
12035,1988236.07,172,42052,22,114,0,47.280415,409.0174,52.316181,271.09293
12037,72755,6,3834,1,3,0,18.976265,156.49452,26.08242,78.247261
12039,229058.4902,24,28946,4,20,0,7.9133039,82.91301,13.818835,69.094177
12041,50540,8,9574,1,5,0,5.2788801,83.559639,10.444955,52.224777
12045,206718,16,14214,2,6,0,14.543267,112.56508,14.070635,42.211903
12047,134964,11,8307,2,2,0,16.247021,132.41844,24.07608,24.07608
12049,128696,15,14442,2,9,0,8.911231,103.86373,13.848497,62.318237
12051,345497,28,36115,5,34,0,9.5665789,77.530113,13.844663,94.143707
12053,3267836.742,236,117169,23,408,0,27.889942,201.41846,19.629766,348.21497
12055,1611875.5,176,86066,20,156,0,18.728365,204.49423,23.23798,181.25624
12057,40966449.39,3393,901446,381,29268,0,45.445263,376.39526,42.265427,3246.7834
12059,245300,27,11843,6,8,0,20.712658,227.98277,50.662838,67.550453
12061,4717220,322,76029,45,535,0,62.04501,423.52261,59.187943,703.67883
12063,473090.25,28,15099,8,22,0,31.332556,185.44275,52.983643,145.70502
12069,6855220.375,584,181623,71,1740,0,37.744232,321.54517,39.091965,958.02844
12071,16564132.23,1159,391026,157,8074,0,42.360691,296.39972,40.150784,2064.8242
12073,7016810.012,430,144744,53,524,0,48.477383,297.0762,36.616371,362.01846
12075,162204.0234,19,18319,4,20,0,8.8544149,103.71745,21.835253,109.17626
12079,303637,31,12386,2,5,0,24.514532,250.28258,16.147263,40.368156
12081,10053051.22,658,261711,92,3105,0,38.412796,251.42236,35.153278,1186.4232
12083,5372024.041,380,189949,59,1976,0,28.281403,200.0537,31.060968,1040.2792
12085,5647504.869,398,127099,62,833,0,44.433907,313.14172,48.780872,655.39459
12086,63968218.17,5347,2144589,996,121940,0,29.827728,249.32516,46.442467,5685.938
12087,1414127.867,86,78985,22,315,0,17.903751,108.88143,27.85339,398.80991
12089,1231771,92,46739,14,78,0,26.354244,196.83775,29.953571,166.88419
12091,5498958.74,489,153867,66,1548,0,35.738388,317.80695,42.894188,1006.0637
12093,396345,28,39604,5,36,0,10.007701,70.699928,12.624988,90.89991
12095,27572462.64,1877,808293,303,20770,0,34.111965,232.21777,37.486408,2569.6128
12097,2714048,236,143339,33,714,0,18.934469,164.64465,23.022346,498.11984
12099,50959137.02,3506,1127151,568,51277,0,45.210567,311.04971,50.39254,4549.2573
12101,6071247.27,519,301697,73,3024,0,20.123657,172.0269,24.196463,1002.3301
12103,34016247.51,2469,851550,309,27144,0,39.94627,289.94186,36.28677,3187.5991
12105,9788329.234,809,430978,92,4158,0,22.711901,187.7126,21.346798,964.78241
12107,900860.3672,83,40378,9,60,0,22.310673,205.55748,22.289366,148.59576
12109,5513001.482,314,117169,53,816,0,47.051708,267.98898,45.233807,696.42993
12111,5071804,371,168490,51,1353,0,30.101513,220.19112,30.268858,803.01501
12113,9589527.769,144,119904,19,306,0,79.976715,120.09608,15.84601,255.20416
12115,17616214.23,1129,291617,147,5562,0,60.408737,387.15164,50.408585,1907.2963
12117,16859448.93,1281,317966,130,3058,0,53.022804,402.87326,40.884876,961.73804
12119,442565.3203,19,28392,4,99,0,15.587677,66.920258,14.088475,348.68976
12121,29100,6,4681,1,8,0,6.2166204,128.17773,21.362957,170.90366
12127,8795181.84,551,414046,97,4437,0,21.242041,133.077,23.427349,1071.6201
12129,89900,8,20985,2,8,0,4.2840123,38.122467,9.5306168,38.122467
12131,689589,40,12272,9,64,0,56.192062,325.94525,73.337677,521.51239
12133,68600,4,14477,2,8,0,4.7385507,27.630033,13.815017,55.260067
13001,35832,6,15473,1,3,0,2.3157759,38.777225,6.4628706,19.388613
13005,38368.96875,10,8878,1,3,0,4.3218031,112.63799,11.263798,33.791393
13009,451006.8887,41,39231,6,18,0,11.496186,104.50919,15.294027,45.882084
13013,739650,74,42752,9,42,0,17.300945,173.09132,21.051647,98.24102
13015,3127379.5,191,56308,19,105,0,55.540588,339.20581,33.742985,186.4744
13017,257055,19,18604,3,6,0,13.81719,102.12858,16.125565,32.251129
13019,156010.6172,7,9502,2,2,0,16.418715,73.668701,21.048201,21.048201
13021,6311860.961,488,147631,55,644,0,42.754307,330.55389,37.255047,436.22275
13023,88749,16,12569,2,2,0,7.0609436,127.29732,15.912165,15.912165
13025,55833,8,3929,1,1,0,14.210486,203.61415,25.451769,25.451769
13029,2403493.5,273,14508,10,14,0,165.66676,1881.7205,68.92749,96.498482
13031,1266928.851,77,42634,11,58,0,29.716396,180.60703,25.801004,136.04166
13035,53700,4,19252,1,4,0,2.7893207,20.777061,5.1942654,20.777061
